vteWorld championships,vteWorld championships.1
List of world sports championships,List of world sports championships
Olympic sports,Team Association football men men's club women women's club Baseball men men's 12 women Basketball men women 3x3 basketball club Beach volleyball Cricket T20 (men) T20 (women) Curling mixed doubles mixed Field hockey men women Flag football Handball men women Ice hockey men women Lacrosse men women Rugby 7s Softball men women Volleyball men men's club women women's club Water polo men women Individual Aquatic sports Archery Athletics outdoor race walking Badminton men women mixed individual Biathlon Bobsleigh and skeleton Boxing women Canoeing slalom sprint Cycling BMX mountain biking road track urban Equestrianism dressage eventing show jumping Fencing Golf men women Gymnastics artistic rhythmic trampoline Ice skating figure short track speed Judo Luge artificial track natural track Modern pentathlon Rowing coastal Sailing Olympic Class Combined Worlds Shooting Skateboarding Skiing alpine Nordic freestyle snowboarding Ski mountaineering Sport climbing Squash individual doubles team Surfing Table tennis Taekwondo Tennis men women Triathlon mixed relay Weightlifting Wrestling Discontinued Basque pelota Cricket Test Croquet singles team Dance sport breakdancing Karate Polo Rackets Real tennis Rugby union men women Tug of war outdoor indoor
Team,Association football men men's club women women's club Baseball men men's 12 women Basketball men women 3x3 basketball club Beach volleyball Cricket T20 (men) T20 (women) Curling mixed doubles mixed Field hockey men women Flag football Handball men women Ice hockey men women Lacrosse men women Rugby 7s Softball men women Volleyball men men's club women women's club Water polo men women
Individual,Aquatic sports Archery Athletics outdoor race walking Badminton men women mixed individual Biathlon Bobsleigh and skeleton Boxing women Canoeing slalom sprint Cycling BMX mountain biking road track urban Equestrianism dressage eventing show jumping Fencing Golf men women Gymnastics artistic rhythmic trampoline Ice skating figure short track speed Judo Luge artificial track natural track Modern pentathlon Rowing coastal Sailing Olympic Class Combined Worlds Shooting Skateboarding Skiing alpine Nordic freestyle snowboarding Ski mountaineering Sport climbing Squash individual doubles team Surfing Table tennis Taekwondo Tennis men women Triathlon mixed relay Weightlifting Wrestling
Discontinued,Basque pelota Cricket Test Croquet singles team Dance sport breakdancing Karate Polo Rackets Real tennis Rugby union men women Tug of war outdoor indoor
Paralympic sports,Team Blind football Para ice hockey men women Wheelchair basketball Wheelchair handball Wheelchair rugby Wheelchair curling mixed team Goalball Sitting volleyball Individual Archery Athletics Badminton Bobsleigh and skeleton Climbing Cycling track cycling road cycling Powerlifting Shooting Snowboard Skiing alpine Nordic Swimming Table tennis
Team,Blind football Para ice hockey men women Wheelchair basketball Wheelchair handball Wheelchair rugby Wheelchair curling mixed team Goalball Sitting volleyball
Individual,Archery Athletics Badminton Bobsleigh and skeleton Climbing Cycling track cycling road cycling Powerlifting Shooting Snowboard Skiing alpine Nordic Swimming Table tennis
Combat sports,Brazilian jiu-jitsu Ju-Jitsu World Championships Kendo Kickboxing (amateur) Muaythai Sambo Sumo Wrestling beach wrestling catch grappling Wushu
Cue sports,Carom billiards Three-cushion men women team Five-pins individual team artistic English billiards amateurs women Pool blackball chinese eight ball eight-ball men nine-ball women nine-ball team nine-ball pyramid ten-ball straight pool Snooker men women team amateurs six-red
Mind sports,Backgammon Bridge Chess open women team Draughts men women checkers draughts-64 draughts-64 women Go Puzzles Scrabble Sudoku Xiangqi  Esports Call of Duty Counter-Strike Dota 2 eSailing FIFA Fortnite League of Legends Mobile Legends: Bang Bang NES Tetris Overwatch Pro Evolution Soccer Rainbow Six Siege Rocket League Smite StarCraft II Valorant
