0,1,2,3,4
#,Pilote,Âge,Résultat,Course
1,Max Verstappen,"17 ans, 5 mois et 29 jours",7e,Grand Prix automobile de Malaisie 2015
2,Andrea Kimi Antonelli,"18 ans, 6 mois et 19 jours",4e,Grand Prix automobile d'Australie 2025
3,Lance Stroll,"18 ans, 7 mois et 13 jours",9e,Grand Prix automobile du Canada 2017
4,Oliver Bearman,"18 ans, 10 mois et 1 jour",7e,Grand Prix automobile d'Arabie saoudite 2024
5,Lando Norris,"19 ans, 4 mois et 18 jours",6e,Grand Prix automobile de Bahreïn 2019
6,Daniil Kvyat,"19 ans, 10 mois et 18 jours",10e,Grand Prix automobile d'Australie 2014
7,Sebastian Vettel,"19 ans, 11 mois et 14 jours",8e,Grand Prix automobile des États-Unis 2007
8,Jaime Alguersuari,20 ans et 12 jours,9e,Grand Prix automobile de Malaisie 2010
9,Jenson Button,"20 ans, 2 mois et 7 jours",6e,Grand Prix automobile du Brésil 2000
10,Ricardo Rodríguez,"20 ans, 4 mois et 3 jours",4e,Grand Prix automobile de Belgique 1962
