id,title,content,category
constructeur_1,Alpine,Constructeur: Alpine. Moteur: Mercedes. Licence: France. Base: United Kingdom. Saisons actives: 2021–present. Victoires: 1.,constructeurs
constructeur_2,Aston Martin,"Constructeur: Aston Martin. Moteur: Honda. Licence: United Kingdom. Base: United Kingdom. Saisons actives: 1959–1960, 2021–present. Victoires: 0.",constructeurs
constructeur_3,Audi,Constructeur: Audi. Moteur: Audi. Licence: Germany. Base: Germany. Saisons actives: 2026–present. Victoires: 0.,constructeurs
constructeur_4,Cadillac,Constructeur: Cadillac. Moteur: Ferrari. Licence: USA. Base: USA. Saisons actives: 2026–present. Victoires: 0.,constructeurs
constructeur_5,Ferrari,Constructeur: Ferrari. Moteur: Ferrari. Licence: Italy. Base: Italy. Saisons actives: 1950–present. Victoires: 248.,constructeurs
constructeur_6,Haas,Constructeur: Haas. Moteur: Ferrari. Licence: United States. Base: United States. Saisons actives: 2016–present. Victoires: 0.,constructeurs
constructeur_7,McLaren,Constructeur: McLaren. Moteur: Mercedes. Licence: United Kingdom. Base: United Kingdom. Saisons actives: 1966–present. Victoires: 203.,constructeurs
constructeur_8,Mercedes,"Constructeur: Mercedes. Moteur: Mercedes. Licence: Germany. Base: United Kingdom. Saisons actives: 1954–1955, 2010–present. Victoires: 131.",constructeurs
constructeur_9,Racing Bulls,Constructeur: Racing Bulls. Moteur: Red Bull Ford. Licence: Italy. Base: Italy. Saisons actives: 2024–present. Victoires: 0.,constructeurs
constructeur_10,Red Bull Racing,Constructeur: Red Bull Racing. Moteur: Red Bull Ford. Licence: Austria. Base: United Kingdom. Saisons actives: 2005–present. Victoires: 130.,constructeurs
constructeur_11,Williams,Constructeur: Williams. Moteur: Mercedes. Licence: United Kingdom. Base: United Kingdom. Saisons actives: 1978–present. Victoires: 114.,constructeurs
constructeur_12,Alex von Falkenhausen Motorenbau,Constructeur: Alex von Falkenhausen Motorenbau. Licence: Germany. Saisons actives: 1952–1953. Victoires: 0.,constructeurs
constructeur_13,Automobiles Gonfaronnaises Sportives,Constructeur: Automobiles Gonfaronnaises Sportives. Licence: France. Saisons actives: 1986–1991. Victoires: 0.,constructeurs
constructeur_14,Alfa Romeo,"Constructeur: Alfa Romeo. Licence: Italy. Saisons actives: 1950–1951, 1979–1985, 2019–2023. Victoires: 10.",constructeurs
constructeur_15,Alfa Special,"Constructeur: Alfa Special. Licence: South Africa. Saisons actives: 1963, 1965. Victoires: 0.",constructeurs
constructeur_16,AlphaTauri,Constructeur: AlphaTauri. Licence: Italy. Saisons actives: 2020–2023. Victoires: 1.,constructeurs
constructeur_17,Alta,Constructeur: Alta. Licence: United Kingdom. Saisons actives: 1950–1952. Victoires: 0.,constructeurs
constructeur_18,Amon,Constructeur: Amon. Licence: New Zealand. Saisons actives: 1974. Victoires: 0.,constructeurs
constructeur_19,Andrea Moda,Constructeur: Andrea Moda. Licence: Italy. Saisons actives: 1992. Victoires: 0.,constructeurs
constructeur_20,Apollon,Constructeur: Apollon. Licence: Switzerland. Saisons actives: 1977. Victoires: 0.,constructeurs
constructeur_21,Arrows,Constructeur: Arrows. Licence: United Kingdom. Saisons actives: 1978–2002. Victoires: 0.,constructeurs
constructeur_22,Arzani-Volpini,Constructeur: Arzani-Volpini. Licence: Italy. Saisons actives: 1955. Victoires: 0.,constructeurs
constructeur_23,Aston Butterworth,Constructeur: Aston Butterworth. Licence: United Kingdom. Saisons actives: 1952. Victoires: 0.,constructeurs
constructeur_24,Automobili Turismo e Sport,Constructeur: Automobili Turismo e Sport. Licence: Italy. Saisons actives: 1963. Victoires: 0.,constructeurs
constructeur_25,Auto Technisches Spezialzubehör,Constructeur: Auto Technisches Spezialzubehör. Licence: Germany. Saisons actives: 1977–1984. Victoires: 0.,constructeurs
constructeur_26,British American Racing,Constructeur: British American Racing. Licence: United Kingdom. Saisons actives: 1999–2005. Victoires: 0.,constructeurs
constructeur_27,Behra-Porsche,Constructeur: Behra-Porsche. Licence: Germany. Saisons actives: 1959–1960. Victoires: 0.,constructeurs
constructeur_28,Bellasi,Constructeur: Bellasi. Licence: Switzerland. Saisons actives: 1970–1971. Victoires: 0.,constructeurs
constructeur_29,Benetton,Constructeur: Benetton. Licence: United Kingdom. Saisons actives: 1986–2001. Victoires: 27.,constructeurs
constructeur_30,Boro,Constructeur: Boro. Licence: Netherlands. Saisons actives: 1976–1977. Victoires: 0.,constructeurs
constructeur_31,Brabham,"Constructeur: Brabham. Licence: United Kingdom. Saisons actives: 1962–1987, 1989–1992. Victoires: 35.",constructeurs
constructeur_32,Brawn GP,Constructeur: Brawn GP. Licence: United Kingdom. Saisons actives: 2009. Victoires: 8.,constructeurs
constructeur_33,British Racing Motors,"Constructeur: British Racing Motors. Licence: United Kingdom. Saisons actives: 1951, 1956–1977. Victoires: 17.",constructeurs
constructeur_34,British Racing Partnership,Constructeur: British Racing Partnership. Licence: United Kingdom. Saisons actives: 1963–1964. Victoires: 0.,constructeurs
constructeur_35,Bugatti,Constructeur: Bugatti. Licence: France. Saisons actives: 1956. Victoires: 0.,constructeurs
constructeur_36,Caterham,Constructeur: Caterham. Licence: Malaysia. Saisons actives: 2012–2014. Victoires: 0.,constructeurs
constructeur_37,Cisitalia,Constructeur: Cisitalia. Licence: Italy. Saisons actives: 1952. Victoires: 0.,constructeurs
constructeur_38,Coloni,Constructeur: Coloni. Licence: Italy. Saisons actives: 1987–1991. Victoires: 0.,constructeurs
constructeur_39,Connaught,Constructeur: Connaught. Licence: United Kingdom. Saisons actives: 1952–1959. Victoires: 0.,constructeurs
constructeur_40,Connew,Constructeur: Connew. Licence: United Kingdom. Saisons actives: 1972. Victoires: 0.,constructeurs
constructeur_41,Cooper Car Company,"Constructeur: Cooper Car Company. Licence: United Kingdom. Saisons actives: 1950, 1952–1969. Victoires: 16.",constructeurs
constructeur_42,Dallara,Constructeur: Dallara. Licence: Italy. Saisons actives: 1988–1992. Victoires: 0.,constructeurs
constructeur_43,De Tomaso,"Constructeur: De Tomaso. Licence: Italy. Saisons actives: 1961–1963, 1970. Victoires: 0.",constructeurs
constructeur_44,Eagle,Constructeur: Eagle. Licence: United States. Saisons actives: 1966–1969. Victoires: 1.,constructeurs
