id,title,content,category
classement_1,Ferrari,Constructeur: Ferrari. Nationalite: Italie. 249 victoires. Periode d'activite: 1950--. Premiere victoire: Grande-Bretagne 1951. Derniere victoire: Monza 2024.,classements
classement_2,McLaren,Constructeur: McLaren. Nationalite: Royaume-Uni. 200 victoires. Periode d'activite: 1966--. Premiere victoire: Belgique 1968. Derniere victoire: Pays-Bas 2024.,classements
classement_3,Mercedes,"Constructeur: Mercedes. Nationalite: Allemagne. 127 victoires. Periode d'activite: 1954--1955, 2010--. Premiere victoire: France 1954. Derniere victoire: Belgique 2024.",classements
classement_4,Red Bull,Constructeur: Red Bull. Nationalite: Autriche. 117 victoires. Periode d'activite: 2005--. Premiere victoire: Chine 2009. Derniere victoire: Espagne 2024.,classements
classement_5,Williams,Constructeur: Williams. Nationalite: Royaume-Uni. 114 victoires. Periode d'activite: 1978--. Premiere victoire: Grande-Bretagne 1979. Derniere victoire: Espagne 2012.,classements
classement_6,Team Lotus,Constructeur: Team Lotus. Nationalite: Royaume-Uni. 79 victoires. Periode d'activite: 1958--1994. Premiere victoire: Monaco 1960. Derniere victoire: Détroit 1987.,classements
classement_7,Alpine/Renault,"Constructeur: Alpine/Renault. Nationalite: France. 36 victoires. Periode d'activite: 1977--1985, 2002--2011, 2016--. Premiere victoire: France 1979. Derniere victoire: Hongrie 2021.",classements
classement_8,Brabham,"Constructeur: Brabham. Nationalite: Royaume-Uni. 35 victoires. Periode d'activite: 1962--1987, 1989--1992. Premiere victoire: France 1964. Derniere victoire: France 1985.",classements
classement_9,Benetton,"Constructeur: Benetton. Nationalite: Royaume-Uni, Italie. 27 victoires. Periode d'activite: 1986--2001. Premiere victoire: Mexique 1986. Derniere victoire: Allemagne 1997.",classements
classement_10,Tyrrell,Constructeur: Tyrrell. Nationalite: Royaume-Uni. 23 victoires. Periode d'activite: 1970--1998. Premiere victoire: Espagne 1971. Derniere victoire: États-Unis Est 1983.,classements
classement_11,BRM,"Constructeur: BRM. Nationalite: Royaume-Uni. 17 victoires. Periode d'activite: 1951, 1956--1977. Premiere victoire: Pays-Bas 1959. Derniere victoire: Monaco 1972.",classements
classement_12,Cooper,"Constructeur: Cooper. Nationalite: Royaume-Uni. 16 victoires. Periode d'activite: 1950, 1952--1969. Premiere victoire: Argentine 1958. Derniere victoire: Afrique du Sud 1967.",classements
classement_13,Alfa Romeo,"Constructeur: Alfa Romeo. Nationalite: Italie. 10 victoires. Periode d'activite: 1950--1951, 1979--1985, 2019--. Premiere victoire: Grande-Bretagne 1950. Derniere victoire: Espagne 1951.",classements
classement_14,Maserati,Constructeur: Maserati. Nationalite: Italie. 9 victoires. Periode d'activite: 1950--1960. Premiere victoire: Italie 1953. Derniere victoire: Allemagne 1957.,classements
classement_15,Vanwall,Constructeur: Vanwall. Nationalite: Royaume-Uni. 9 victoires. Periode d'activite: 1954--1960. Premiere victoire: Grande-Bretagne 1957. Derniere victoire: Maroc 1958.,classements
classement_16,Matra,Constructeur: Matra. Nationalite: France. 9 victoires. Periode d'activite: 1967--1972. Premiere victoire: Pays-Bas 1968. Derniere victoire: Italie 1969.,classements
classement_17,Ligier,Constructeur: Ligier. Nationalite: France. 9 victoires. Periode d'activite: 1976--1996. Premiere victoire: Suède 1977. Derniere victoire: Monaco 1996.,classements
classement_18,Brawn,Constructeur: Brawn. Nationalite: Royaume-Uni. 8 victoires. Periode d'activite: 2009. Premiere victoire: Australie 2009. Derniere victoire: Italie 2009.,classements
classement_19,Kurtis Kraft,Constructeur: Kurtis Kraft. Nationalite: États-Unis. 5 victoires. Periode d'activite: 1950--1960. Premiere victoire: Indianapolis 1950. Derniere victoire: Indianapolis 1955.,classements
classement_20,Jordan,Constructeur: Jordan. Nationalite: Irlande. 4 victoires. Periode d'activite: 1991--2005. Premiere victoire: Belgique 1998. Derniere victoire: Brésil 2003.,classements
classement_21,Watson,"Constructeur: Watson. Nationalite: États-Unis. 3 victoires. Periode d'activite: 1950--1953, 1956--1960. Premiere victoire: Indianapolis 1956. Derniere victoire: Indianapolis 1960.",classements
classement_22,March,"Constructeur: March. Nationalite: Royaume-Uni. 3 victoires. Periode d'activite: 1970--1977, 1981--1982, 1987--1989, 1992. Premiere victoire: Espagne 1970. Derniere victoire: Italie 1976.",classements
classement_23,Wolf,Constructeur: Wolf. Nationalite: Canada. 3 victoires. Periode d'activite: 1977--1979. Premiere victoire: Argentine 1977. Derniere victoire: Canada 1977.,classements
classement_24,Honda,"Constructeur: Honda. Nationalite: Japon. 3 victoires. Periode d'activite: 1964--1968, 2006--2008. Premiere victoire: Mexique 1965. Derniere victoire: Hongrie 2006.",classements
