Description,Record,Details,Ref.
Most retirements (percentage),85.7%,1996 Monaco Grand Prix (18 out of 21 starters),[1]
Fewest finishers (actual),3,"1996 Monaco Grand Prix (21 starters. Seven cars were classified, only three crossed the finish line)",[2]
Fewest finishers (classified),4,1966 Monaco Grand Prix (16 starters),[3]
Most finishers,24,2011 European Grand Prix (24 starters),[4]
Most pit stops,89,2023 Dutch Grand Prix,[5]
Fewest pit stops,0,1961 Dutch Grand Prix 2021 Belgian Grand Prix,[6]
Most overtakes for the lead,41,1965 Italian Grand Prix,[7]
Most overtakes in a dry race,161,2016 Chinese Grand Prix,[8]
Most overtakes in a wet race,186,2023 Dutch Grand Prix,[9]
Most overtakes in a single lap,63,2023 Dutch Grand Prix (lap 3),[9]
Fewest overtakes in a race,0,2003 Monaco Grand Prix  2005 United States Grand Prix  2009 European Grand Prix  2021 Monaco Grand Prix[a]  2021 Belgian Grand Prix,[7]
Most starters,34,1953 German Grand Prix,[12]
Fewest starters,6,"2005 United States Grand Prix (20 cars took warmup lap, but 14 cars pulled out before the start)",[13]
Smallest winning margin,0.010 s,1971 Italian Grand Prix ( Peter Gethin from Ronnie Peterson) also closest 1st–3rd (0.090 s); 1st–4th (0.180 s); 1st–5th (0.610 s),[14]
Largest winning margin (laps),2 laps,1969 Spanish Grand Prix ( Jackie Stewart from Bruce McLaren)  1995 Australian Grand Prix ( Damon Hill from Olivier Panis),[15]
Largest winning margin (time),5 min 12.750 s,1958 Portuguese Grand Prix ( Stirling Moss from Mike Hawthorn),[16]
Lowest average race speed (winner),53.583 km/h (33.295 mph),"2022 Japanese Grand Prix ( Max Verstappen) (Race stopped twice. Firstly, due to rain and Carlos Sainz Jr.'s crash. Secondly, as three-hour time limit reached, after which the race was not restarted)",[17]
Lowest average race speed (winner) without a red flag,98.701 km/h (61.330 mph),1950 Monaco Grand Prix ( Juan Manuel Fangio),[18]
Highest average race speed (winner),250.706 km/h (155.781 mph),2025 Italian Grand Prix ( Max Verstappen),[19]
Highest average fastest lap (race),257.781 km/h (160.178 mph),2025 Italian Grand Prix ( Lando Norris),[20]
Highest average lap speed (qualifying),264.681 km/h (164.465 mph),2025 Italian Grand Prix ( Max Verstappen),[21]
Highest top speed (race),372.499 km/h (231.46 mph)[b],2016 Mexican Grand Prix ( Valtteri Bottas),[22]
Highest top speed (overall),378 km/h (234.878 mph)[c],2016 European Grand Prix ( Valtteri Bottas),[23]
Shortest lap time (qualifying),53.377 s,2020 Sakhir Grand Prix ( Valtteri Bottas),[24]
"Shortest race (laps, duration, distance)","1 lap, 3 min 27.071 s 6.880 km (4.275 mi)",2021 Belgian Grand Prix (Race red-flagged due to heavy rain),[25]
Shortest full-length race (duration),1 h 13 min 24.325 s,2025 Italian Grand Prix,[20]
Fewest laps without a red flag,12,1971 German Grand Prix,[26]
Longest race (duration),4 h 4 min 39.540 s,2011 Canadian Grand Prix (Race stopped for 2 hours due to heavy rain),[27]
Longest race without a red flag (duration),3 h 57 min 38.050 s,1951 Indianapolis 500,[28]
"Longest race (laps, distance)","200 laps, 804.672 km (500 mi)","1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960 Indianapolis 500",[29]
Longest non-Indianapolis 500 race (distance),"77 laps, 601.832 km (373.961 mi)",1951 French Grand Prix,[29]
Longest non-Indianapolis 500 race (laps),"87 laps, 307.995 km (191.379 mi)",2020 Sakhir Grand Prix,[30]
Most times safety car deployed in single race,6 times,2011 Canadian Grand Prix,[31]
Most red flags in qualifying,6,"2025 Azerbaijan Grand Prix (Incidents of Alexander Albon, Nico Hülkenberg, Pierre Gasly, Franco Colapinto, Oliver Bearman, Charles Leclerc, and Oscar Piastri)",[32]
Most red flags in the race,3,"2023 Australian Grand Prix (Incidents of Alexander Albon, Kevin Magnussen, Logan Sargeant, Nyck de Vries, Esteban Ocon, and Pierre Gasly)",[33]
Closest result in a qualifying session,0.000 s between P1 and P3,"1997 European Grand Prix ( Jacques Villeneuve, Michael Schumacher, and Heinz-Harald Frentzen all set identical qualifying lap times)",[34]
Closest result in a qualifying session,0.000 s between P1 and P2,2024 Canadian Grand Prix ( George Russell and Max Verstappen both set identical qualifying lap times),[35]
Most pit stops by a winning driver in a single race,6[d],Jenson Button ( 2011 Canadian Grand Prix)  Max Verstappen ( 2023 Dutch Grand Prix),[36][37]
Most (driving) penalties in one race,5,Esteban Ocon ( 2023 Austrian Grand Prix),[38]
Most grid-place (engine) penalties for one race,70,Jenson Button ( 2015 Mexican Grand Prix),[39]
Youngest average age of podium finishers,"23 years, 256 days","2019 Brazilian Grand Prix ( Max Verstappen, Pierre Gasly, Carlos Sainz Jr.)",[40]
Oldest average age of podium finishers,"46 years, 263 days","1950 Swiss Grand Prix ( Giuseppe Farina, Luigi Fagioli, Louis Rosier)",[40]
Most races in a season,24,"2024, 2025",[41][42]
Fewest races in a season,7,"1950, 1955",[43]
Coldest race (air temperature),5 °C,1978 Canadian Grand Prix,[44]
Hottest race (air temperature),42.5 °C,2005 Bahrain Grand Prix,[45]
Highest Grand Prix attendance (race weekend),520000,1995 Australian Grand Prix,[46]
Highest Grand Prix attendance (race),250000,2000 United States Grand Prix,[47]
