Unnamed: 0,Driver,Races finished,Races
1,Lewis Hamilton,48,2018 British – 2020 Bahrain
2,Oscar Piastri,44,2023 Mexico City – 2025 Italian
3,Max Verstappen,43,2022 Emilia Romagna – 2024 Saudi Arabian
4,Daniel Ricciardo,34,2020 Styrian – 2021 Mexico City
4,George Russell,34,2024 Dutch – 2025 Abu Dhabi (ongoing)
6,Nick Heidfeld,33,2007 Chinese – 2009 Italian
6,Lewis Hamilton,33,2016 Japanese – 2018 French
8,Carlos Sainz Jr.,31,2020 Eifel – 2022 Saudi Arabian
8,Max Verstappen,31,2024 Japanese – 2025 Canadian
10,Kimi Räikkönen,30,2012 Australian – 2013 Hungarian
Source:[79],Source:[79],Source:[79],Source:[79]
