Unnamed: 0,Driver,Age,Year
1,Sebastian Vettel,"23 years, 134 days",2010
2,Lewis Hamilton,"23 years, 300 days",2008
3,Fernando Alonso,"24 years, 59 days",2005
4,Max Verstappen,"24 years, 73 days",2021
5,Emerson Fittipaldi,"25 years, 303 days",1972
6,Michael Schumacher,"25 years, 314 days",1994
7,Lando Norris,"26 years, 24 days",2025
8,Niki Lauda,"26 years, 197 days",1975
9,Jacques Villeneuve,"26 years, 200 days",1997
10,Jim Clark,"27 years, 174 days",1963
Sources:[3][103],Sources:[3][103],Sources:[3][103],Sources:[3][103]
