Grand Prix,Circuit,Contract ends,Ref.
Abu Dhabi Grand Prix,"Yas Marina Circuit, Abu Dhabi",2030,[213]
Australian Grand Prix,"Albert Park Circuit, Melbourne",2037,[214]
Austrian Grand Prix,"Red Bull Ring, Spielberg",2041,[215]
Azerbaijan Grand Prix,"Baku City Circuit, Baku",2030,[216]
Bahrain Grand Prix,"Bahrain International Circuit, Sakhir",2036,[217]
Barcelona-Catalunya Grand Prix,"Circuit de Barcelona-Catalunya, Montmeló",2026,[218]
Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",2031[f],[219]
British Grand Prix,"Silverstone Circuit, Silverstone",2034,[220]
Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",2031,[221]
Chinese Grand Prix,"Shanghai International Circuit, Shanghai",2030,[222]
Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",2026,[223]
Hungarian Grand Prix,"Hungaroring, Mogyoród",2032,[224]
Italian Grand Prix,"Monza Circuit, Monza",2031,[225]
Japanese Grand Prix,"Suzuka International Racing Course, Suzuka",2029,[226]
Las Vegas Grand Prix,"Las Vegas Strip Circuit, Paradise, Nevada",2027,[227]
Mexico City Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",2028,[228]
Miami Grand Prix,"Miami International Autodrome, Miami Gardens, Florida",2041,[229]
Monaco Grand Prix,"Circuit de Monaco, Monaco",2035,[230]
Qatar Grand Prix,"Lusail International Circuit, Lusail",2032,[231]
São Paulo Grand Prix,"Interlagos Circuit, São Paulo",2030,[232]
Saudi Arabian Grand Prix,"Jeddah Corniche Circuit, Jeddah[g]",2030,[233]
Singapore Grand Prix,"Marina Bay Street Circuit, Singapore",2028,[234]
Spanish Grand Prix,"Madring, Madrid",2035,[235]
United States Grand Prix,"Circuit of the Americas, Austin, Texas",2034,[236]
